BaseFreq,RunFreq,AdjFreq,I,P,Var1,Var2,Var3,Var4,Var5
1900,1900,0,234,183,185,12,23,23,0,
1900,1900,0,356,401,402,13,23,23,0,
1900,1900,0,335,439,438,14,23,23,0,
1900,1900,0,330,436,437,15,23,23,0,
1900,1900,0,314,412,414,16,23,23,0,
1900,1900,0,294,387,389,17,23,23,0,
1900,1900,0,281,364,366,18,23,23,0,
1900,1900,0,233,306,306,19,23,23,0,
1900,1900,0,164,202,201,20,23,23,0,
1900,1900,0,120,66,65,21,23,23,0,
1900,1900,0,127,-18,-18,22,23,23,0,
1900,1900,0,149,-68,-66,0,23,23,0,
1900,1900,0,149,-68,-66,0,23,23,0,
1900,1900,0,175,-111,-107,1,23,23,0,
1900,1900,0,165,-116,-114,2,23,23,0,
1900,1900,0,135,-78,-74,3,23,23,0,
1900,1900,0,161,67,77,4,23,23,0,
1900,1900,0,378,377,389,5,23,23,0,
1900,1900,0,277,386,384,6,23,23,0,
1900,1900,0,244,317,319,7,23,23,0,
1900,1900,0,167,208,205,8,23,23,0,
1900,1900,0,121,87,86,9,23,23,0,
1900,1900,0,124,-1,-3,10,23,23,0,
1900,1900,0,117,7,6,11,23,23,0,
1900,1900,0,229,181,183,12,23,23,0,
1900,1900,0,353,399,401,13,23,23,0,
1900,1900,0,333,437,439,14,23,23,0,
1900,1900,0,329,436,436,15,23,23,0,
1900,1900,0,313,415,412,16,23,23,0,
1900,1900,0,297,390,387,17,23,23,0,
1900,1900,0,281,365,364,18,23,23,0,
1900,1900,0,281,365,364,18,23,23,0,
1900,1900,0,233,306,306,19,23,23,0,
1900,1900,0,164,202,202,20,23,23,0,
1900,1900,0,120,67,66,21,23,23,0,
1900,1900,0,127,-17,-18,22,23,23,0,
1900,1900,0,148,-66,-68,0,23,23,0,
1900,1900,0,171,-106,-111,1,23,23,0,
1900,1900,0,161,-111,-116,2,23,23,0,
1900,1900,0,121,-56,-78,3,23,23,0,
